entity,attribute,value,category,description,source
Transformer,type,Deep Learning Architecture,Technology,Attention-based sequence to sequence model,knowledge_base.csv
DeepMind,creator,Demis Hassabis,Technology,Leading artificial intelligence research laboratory,knowledge_base.csv
DeepMind,release_year,2010,Technology,Founded in London in September 2010,knowledge_base.csv
DeepMind,type,AI Research Lab,Technology,Acquired by Google in 2014,knowledge_base.csv
DeepMind,location,London England,Technology,Headquartered in London United Kingdom,knowledge_base.csv
OpenAI,creator,Sam Altman,Technology,Artificial intelligence research laboratory,knowledge_base.csv
OpenAI,release_year,2015,Technology,Founded in December 2015,knowledge_base.csv
OpenAI,type,AI Research Organization,Technology,Creator of ChatGPT and GPT-4,knowledge_base.csv
OpenAI,location,San Francisco California,Technology,Headquartered in San Francisco California,knowledge_base.csv
Turing Test,creator,Alan Turing,Technology,Benchmark test of machine ability to exhibit intelligent behavior,knowledge_base.csv
Turing Test,release_year,1950,Technology,Proposed in Computing Machinery and Intelligence in 1950,knowledge_base.csv
Turing Test,type,Machine Intelligence Test,Technology,Evaluates whether a computer can imitate human responses,knowledge_base.csv
Deep Learning,type,Machine Learning Paradigm,Technology,Subset of machine learning based on artificial neural networks,knowledge_base.csv
PyTorch,creator,Meta AI,Technology,Open source deep learning framework based on Torch library,knowledge_base.csv
PyTorch,release_year,2016,Technology,First released in September 2016,knowledge_base.csv
PyTorch,type,Deep Learning Framework,Technology,Widely used deep learning library in Python,knowledge_base.csv
TensorFlow,creator,Google Brain,Technology,End-to-end open source platform for machine learning,knowledge_base.csv
TensorFlow,release_year,2015,Technology,Released under Apache License in November 2015,knowledge_base.csv
TensorFlow,type,Machine Learning Framework,Technology,Symbolic math library for machine learning,knowledge_base.csv
Quantum Computing,type,Advanced Computing Paradigm,Technology,Computation using quantum mechanical phenomena like superposition and entanglement,knowledge_base.csv
Qiskit,creator,IBM,Technology,Open source software development kit for working with quantum computers,knowledge_base.csv
Qiskit,release_year,2017,Technology,Released by IBM in 2017,knowledge_base.csv
Qiskit,type,Quantum Software SDK,Technology,Python SDK for circuit-level quantum programs,knowledge_base.csv
IBM Quantum,creator,IBM,Technology,Cloud-based quantum computing services platform,knowledge_base.csv
IBM Quantum,release_year,2016,Technology,Launched in May 2016,knowledge_base.csv
IBM Quantum,type,Quantum Computing Platform,Technology,Provides cloud access to superconducting quantum processors,knowledge_base.csv
IBM Quantum,location,Armonk New York,Technology,Headquartered in Armonk New York,knowledge_base.csv
Qubit,type,Basic Quantum Information Unit,Technology,Quantum bit capable of superposition state,knowledge_base.csv
Computer Vision,type,AI Subfield,Technology,Field of AI enabling computers to derive meaningful information from digital images,knowledge_base.csv
OpenCV,creator,Intel,Technology,Open source computer vision and machine learning software library,knowledge_base.csv
OpenCV,release_year,2000,Technology,Initially released by Intel in June 2000,knowledge_base.csv
OpenCV,type,Computer Vision Library,Technology,Cross-platform real-time computer vision library,knowledge_base.csv
YOLO,creator,Joseph Redmon,Technology,You Only Look Once real-time object detection system,knowledge_base.csv
YOLO,release_year,2016,Technology,First published in 2016 CVPR paper,knowledge_base.csv
YOLO,type,Real-Time Object Detection System,Technology,Single neural network object detector,knowledge_base.csv
Data Security,type,Information Security Field,Technology,Practice of protecting digital information from unauthorized access,knowledge_base.csv
Differential Privacy,creator,Cynthia Dwork,Technology,Mathematical definition for privacy-preserving data analysis,knowledge_base.csv
Differential Privacy,release_year,2006,Technology,Formalized by Cynthia Dwork in 2006,knowledge_base.csv
Differential Privacy,type,Privacy Preserving Framework,Technology,Guarantees statistical privacy for individual dataset entries,knowledge_base.csv
Homomorphic Encryption,creator,Craig Gentry,Technology,Form of encryption allowing computation directly on ciphertexts,knowledge_base.csv
Homomorphic Encryption,release_year,2009,Technology,First fully homomorphic scheme constructed by Craig Gentry in 2009,knowledge_base.csv
Homomorphic Encryption,type,Cryptographic Encryption Scheme,Technology,Enables secure cloud computation without decryption,knowledge_base.csv
GDPR,release_year,2018,Technology,General Data Protection Regulation enacted in May 2018,knowledge_base.csv
GDPR,type,Data Protection Regulation,Technology,European legal framework for data privacy and protection,knowledge_base.csv
GDPR,location,European Union,Technology,Enforced across European Union member states,knowledge_base.csv
